n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
16,20,20,URN-R,Reversal Symmetry,500,0,"Counter({'Borda': 285, 'Dowdall': 171, 'Plurality Veto': 26, 'Plurality': 10, 'Anti-Plurality': 8})"
16,20,20,URN-R,Monotonicity,500,10,"Counter({'Borda': 282, 'Dowdall': 168, 'Plurality Veto': 19, 'Anti-Plurality': 12, 'Plurality': 9})"
16,20,20,URN-R,Strong Consistency,262,39,"Counter({'Borda': 166, 'Dowdall': 55, 'Plurality Veto': 2})"
16,20,20,URN-R,Weak Consistency,38,1,"Counter({'Borda': 36, 'Dowdall': 1})"
16,20,20,plackett_luce,Homogeneity,500,47,"Counter({'Borda': 451, 'Dowdall': 2})"
16,20,20,plackett_luce,Reversal Symmetry,500,0,"Counter({'Borda': 497, 'Dowdall': 3})"
16,20,20,plackett_luce,Monotonicity,500,12,"Counter({'Borda': 486, 'Dowdall': 2})"
16,20,20,plackett_luce,Strong Consistency,480,4,Counter({'Borda': 476})
16,20,20,plackett_luce,Weak Consistency,0,0,Counter()
16,20,20,single_peaked_conitzer,Homogeneity,500,26,"Counter({'Borda': 467, 'Dowdall': 4, 'Plurality Veto': 3})"
16,20,20,single_peaked_conitzer,Reversal Symmetry,500,0,"Counter({'Borda': 472, 'Plurality Veto': 14, 'Anti-Plurality': 10, 'Dowdall': 4})"
16,20,20,single_peaked_conitzer,Monotonicity,500,45,"Counter({'Borda': 430, 'Plurality Veto': 12, 'Anti-Plurality': 11, 'Dowdall': 2})"
16,20,20,single_peaked_conitzer,Strong Consistency,320,14,"Counter({'Borda': 305, 'Plurality Veto': 1})"
16,20,20,single_peaked_conitzer,Weak Consistency,4,4,Counter()
16,20,20,IC,Homogeneity,500,193,"Counter({'Dowdall': 95, 'Borda': 72, 'Anti-Plurality': 70, 'Plurality Veto': 44, 'Plurality': 26})"
16,20,20,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 120, 'Borda': 106, 'Dowdall': 96, 'Plurality': 93, 'Plurality Veto': 85})"
16,20,20,IC,Monotonicity,500,44,"Counter({'Anti-Plurality': 121, 'Borda': 104, 'Dowdall': 99, 'Plurality': 66, 'Plurality Veto': 66})"
16,20,20,IC,Strong Consistency,118,46,"Counter({'Borda': 25, 'Dowdall': 20, 'Plurality Veto': 14, 'Plurality': 7, 'Anti-Plurality': 6})"
16,20,20,IC,Weak Consistency,0,0,Counter()
16,20,40,MALLOWS-RELPHI-R,Homogeneity,500,122,"Counter({'Borda': 310, 'Dowdall': 46, 'Plurality Veto': 12, 'Plurality': 6, 'Anti-Plurality': 4})"
16,20,40,MALLOWS-RELPHI-R,Reversal Symmetry,500,0,"Counter({'Borda': 397, 'Dowdall': 59, 'Plurality Veto': 18, 'Anti-Plurality': 15, 'Plurality': 11})"
16,20,40,MALLOWS-RELPHI-R,Monotonicity,500,15,"Counter({'Borda': 393, 'Dowdall': 57, 'Anti-Plurality': 14, 'Plurality': 11, 'Plurality Veto': 10})"
16,20,40,MALLOWS-RELPHI-R,Strong Consistency,270,20,"Counter({'Borda': 232, 'Dowdall': 13, 'Plurality Veto': 4, 'Anti-Plurality': 1})"
16,20,40,MALLOWS-RELPHI-R,Weak Consistency,8,1,"Counter({'Borda': 6, 'Dowdall': 1})"
16,20,40,URN-R,Homogeneity,500,107,"Counter({'Borda': 207, 'Dowdall': 166, 'Plurality Veto': 15, 'Anti-Plurality': 3, 'Plurality': 2})"
16,20,40,URN-R,Reversal Symmetry,500,0,"Counter({'Borda': 277, 'Dowdall': 185, 'Plurality Veto': 22, 'Plurality': 8, 'Anti-Plurality': 8})"
16,20,40,URN-R,Monotonicity,500,12,"Counter({'Borda': 270, 'Dowdall': 180, 'Plurality Veto': 23, 'Anti-Plurality': 8, 'Plurality': 7})"
16,20,40,URN-R,Strong Consistency,250,37,"Counter({'Borda': 146, 'Dowdall': 65, 'Plurality Veto': 1, 'Plurality': 1})"
16,20,40,URN-R,Weak Consistency,47,1,"Counter({'Borda': 45, 'Dowdall': 1})"
16,20,40,plackett_luce,Homogeneity,500,40,Counter({'Borda': 460})
16,20,40,plackett_luce,Reversal Symmetry,500,0,Counter({'Borda': 500})
16,20,40,plackett_luce,Monotonicity,500,14,"Counter({'Borda': 485, 'Dowdall': 1})"
16,20,40,plackett_luce,Strong Consistency,480,2,Counter({'Borda': 478})
16,20,40,plackett_luce,Weak Consistency,0,0,Counter()
16,20,40,single_peaked_conitzer,Homogeneity,500,30,"Counter({'Borda': 462, 'Plurality Veto': 7, 'Dowdall': 1})"
16,20,40,single_peaked_conitzer,Reversal Symmetry,500,0,"Counter({'Borda': 471, 'Plurality Veto': 16, 'Anti-Plurality': 12, 'Dowdall': 1})"
16,20,40,single_peaked_conitzer,Monotonicity,500,49,"Counter({'Borda': 432, 'Plurality Veto': 9, 'Anti-Plurality': 8, 'Dowdall': 2})"
16,20,40,single_peaked_conitzer,Strong Consistency,315,10,"Counter({'Borda': 301, 'Plurality Veto': 3, 'Anti-Plurality': 1})"
16,20,40,single_peaked_conitzer,Weak Consistency,2,2,Counter()
16,20,40,IC,Homogeneity,500,185,"Counter({'Dowdall': 112, 'Borda': 79, 'Anti-Plurality': 56, 'Plurality Veto': 45, 'Plurality': 23})"
16,20,40,IC,Reversal Symmetry,500,0,"Counter({'Dowdall': 120, 'Borda': 111, 'Anti-Plurality': 111, 'Plurality Veto': 79, 'Plurality': 79})"
16,20,40,IC,Monotonicity,500,35,"Counter({'Anti-Plurality': 115, 'Dowdall': 114, 'Borda': 110, 'Plurality': 67, 'Plurality Veto': 59})"
16,20,40,IC,Strong Consistency,113,46,"Counter({'Dowdall': 26, 'Borda': 17, 'Anti-Plurality': 12, 'Plurality Veto': 10, 'Plurality': 2})"
